ID;DESCRIPTION;Attribut1;Additional Feature;Application;Characteristic;Temp;Height;Length in mm;Rating;Material;Size;Code;Joule-integral-Nom (J);LC Risk;Maximum AC Voltage Rating;Maximum DC Voltage Rating;Maximum Power Dissipation;Mounting;Mounting Feature;Number of Terminals;Operating Temperature-Max (Cel);Operating Temperature-Min (Cel);Physical Dimension;Pre-arcing time-Min (ms);Product Diameter;Product Length;Rated Breaking Capacity (A);Rated Current (A);Rated Voltage (V);Rated Voltage(AC) (V);Rated Voltage(DC) (V)
A193;Indicator SubRed Slow Blow Movement 1A 250V SMD Gull Wing 10.16 X 6.35 X 4.19mm Thermoplastic Bulk CSA/UL Electric Indicator, Slow Blow, 1A, 250VAC, 50A (IR), Surface Mount;Slow Blow;;Motor Circuit;SLOW;6.35mm;4.19mm;9.45mm;1A;Thermoplastic;10.16 X 6.35 X 4.19mm;e0;0.328J;Low;250V;;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;9.45mm  x  6.35mm  x  4.19mm;;;9.45mm;50A;1A;250V;250V;
A194;Indicator SubRed Slow Blow Movement 1A 250V SMD Gull Wing 10.16 X 6.35 X 4.19mm Thermoplastic T/R CSA/UL Electric Indicator, Slow Blow, 1A, 250VAC, 50A (IR), Surface Mount;Slow Blow;;Motor Circuit;SLOW;6.35mm;4.19mm;9.45mm;1A;Thermoplastic;10.16 X 6.35 X 4.19mm;e0;0.328J;Low;250V;;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;9.45mm  x  6.35mm  x  4.19mm;;;9.45mm;50A;1A;250V;250V;
A195;Indicator SubRed Slow Blow Movement 2A 250V SMD Gull Wing 10.16 X 6.35 X 4.19mm Thermoplastic Bulk CSA/UL Electric Indicator, Slow Blow, 2A, 250VAC, 50A (IR), Surface Mount;Slow Blow;;Motor Circuit;SLOW;6.35mm;4.19mm;9.45mm;2A;Thermoplastic;10.16 X 6.35 X 4.19mm;e0;1.7J;Low;250V;;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;9.45mm  x  6.35mm  x  4.19mm;;;9.45mm;50A;2A;250V;250V;
A196;Indicator SubRed Slow Blow Movement 2A 250V SMD Gull Wing 10.16 X 6.35 X 4.19mm Thermoplastic T/R CSA/UL Electric Indicator, Slow Blow, 2A, 250VAC, 50A (IR), Surface Mount;Slow Blow;;Motor Circuit;SLOW;6.35mm;4.19mm;9.45mm;2A;Thermoplastic;10.16 X 6.35 X 4.19mm;e0;1.7J;Low;250V;;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;9.45mm  x  6.35mm  x  4.19mm;;;9.45mm;50A;2A;250V;250V;
A197;Indicator SubRed Slow Blow Movement 3A 250V SMD Gull Wing 10.16 X 6.35 X 4.19mm Thermoplastic Bulk CSA/UL Electric Indicator, Slow Blow, 3A, 250VAC, 50A (IR), Surface Mount;Slow Blow;;Motor Circuit;SLOW;6.35mm;4.19mm;9.45mm;3A;Thermoplastic;10.16 X 6.35 X 4.19mm;e0;4.4J;Low;250V;;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;9.45mm  x  6.35mm  x  4.19mm;;;9.45mm;50A;3A;250V;250V;
A198;Indicator SubRed Slow Blow Movement 3A 250V SMD Gull Wing 10.16 X 6.35 X 4.19mm Thermoplastic T/R CSA/UL Electric Indicator, Slow Blow, 3A, 250VAC, 50A (IR), Surface Mount;Slow Blow;;Motor Circuit;SLOW;6.35mm;4.19mm;9.45mm;3A;Thermoplastic;10.16 X 6.35 X 4.19mm;e0;4.4J;Low;250V;;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;9.45mm  x  6.35mm  x  4.19mm;;;9.45mm;50A;3A;250V;250V;
A199;Indicator SubRed Slow Blow Movement 4A 250V SMD Gull Wing 10.16 X 6.35 X 4.19mm Thermoplastic Bulk CSA/UL Electric Indicator, Slow Blow, 4A, 250VAC, 50A (IR), Surface Mount;Slow Blow;;Motor Circuit;SLOW;6.35mm;4.19mm;9.45mm;4A;Thermoplastic;10.16 X 6.35 X 4.19mm;e0;8.75J;Low;250V;;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;9.45mm  x  6.35mm  x  4.19mm;;;9.45mm;50A;4A;250V;250V;
A200;Indicator SubRed Slow Blow Movement 4A 250V SMD Gull Wing 10.16 X 6.35 X 4.19mm Thermoplastic T/R CSA/UL Electric Indicator, Slow Blow, 4A, 250VAC, 50A (IR), Surface Mount;Slow Blow;;Motor Circuit;SLOW;6.35mm;4.19mm;9.45mm;4A;Thermoplastic;10.16 X 6.35 X 4.19mm;e0;8.75J;Low;250V;;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;9.45mm  x  6.35mm  x  4.19mm;;;9.45mm;50A;4A;250V;250V;
A201;Indicator SubRed Slow Blow Movement 5A 250V SMD Gull Wing 10.16 X 6.35 X 4.19mm Thermoplastic Bulk CSA/UL Electric Indicator, Slow Blow, 5A, 250VAC, 50A (IR), Surface Mount;Slow Blow;;Motor Circuit;SLOW;6.35mm;4.19mm;9.45mm;5A;Thermoplastic;10.16 X 6.35 X 4.19mm;e0;14.7J;Low;250V;;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;9.45mm  x  6.35mm  x  4.19mm;;;9.45mm;50A;5A;250V;250V;
A202;Indicator SubRed Slow Blow Movement 5A 250V SMD Gull Wing 10.16 X 6.35 X 4.19mm Thermoplastic T/R CSA/UL Electric Indicator, Slow Blow, 5A, 250VAC, 50A (IR), Surface Mount;Slow Blow;;Motor Circuit;SLOW;6.35mm;4.19mm;9.45mm;5A;Thermoplastic;10.16 X 6.35 X 4.19mm;e0;14.7J;Low;250V;;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;9.45mm  x  6.35mm  x  4.19mm;;;9.45mm;50A;5A;250V;250V;
